年份,第几周,部门,"本周
新开户",本月新开户,"本月新增
有效户",本年新开户,"本年新增
有效户","本周
新增市值","本月
新增市值",本年新增市值,"本周
新开两融户","本月
新开两融户","本年
新开两融户","资产
总量（亿）","两融余额
（万）",本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）,本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）
2023,25,北京方庄,68,87,3,1045,43,4.4857,23.478225,178.8509,0,0,1,2.19725514,480.424637,-,-,-,1.107671,5.532178,44.363304
2023,26,天津分公司,7,11,4,202,65,32.53108,126.86489,1366.021302,0,0,7,2.53797492,1617.591467,-,-,-,1.659185,6.96351,49.563187
2023,26,事业中心,5,21,8,102,62,7.076056,1223.098468,2271.616825,0,0,4,2.4389543,1046.288023,5.23035,21.304129,154.216038,5.723407,23.84829,170.86652
2023,26,经纪人,2,4,4,86,56,42.36761,183.28086,708.00918,0,0,1,12.70234713,3940.046214,-,-,-,4.966287,26.935483,160.956588
2023,26,财富中心,1,12,6,60,39,45.445803,346.149779,1038.498506,1,1,8,5.09875009,3207.102593,1.950802,10.448759,60.411707,2.256629,11.972189,67.893545
2023,26,北京方庄,73,160,7,1118,47,45.0375,68.515725,195.4445,0,0,1,1.79483662,382.961079,-,-,-,1.787041,7.319219,46.150345
2023,27,天津分公司,6,6,2,208,67,28.15958,28.15958,1160.04721,1,1,8,2.54006801,1600.635,,,,1.742733,1.742733,51.30592
2023,27,事业中心,1,1,0,103,62,14.830398,14.830398,2059.000433,0,0,4,2.45527764,1135.156213,3.832732,3.832732,158.04877,4.251219,4.251219,175.117739
2023,27,经纪人,2,2,1,88,57,35.005197,35.005197,713.50906,0,0,1,11.9233934,3921.452478,,,,7.640403,7.640403,168.596991
2023,27,财富中心,2,2,3,62,42,38.042731,38.042731,908.794483,1,1,8,5.11606096,2835.717905,3.84286,3.84286,64.254567,4.141396,4.141396,72.034941
2023,27,北京方庄,8,8,1,1126,48,4.2706,4.2706,79.3773,0,0,1,1.82069689,455.684652,,,,2.009803,2.009803,48.160148
2023,28,天津分公司,4,10,5,212,70,125.0347,153.19428,1214.01307,0,1,8,2.54661162,1537.68225,-,-,-,1.808394,3.551127,53.114314
2023,28,事业中心,2,3,2,105,64,245.26376,260.094158,2303.069852,1,1,5,2.47996913,1005.651841,3.002292,6.835024,161.051062,3.314658,7.565877,178.432397
2023,28,经纪人,1,3,3,93,60,36.204963,72.84516,755.00564,1,1,2,12.51546831,4152.970256,-,-,-,7.028173,14.705674,176.012836
2023,28,财富中心,1,3,3,63,42,43.512024,81.554755,928.555046,0,1,8,5.08226849,2092.417465,1.780351,5.623211,66.034918,2.431212,6.572608,74.466153
2023,28,北京方庄,16,24,3,1142,50,18.9862,23.2568,135.0486,0,0,1,1.8271224,429.532731,-,-,-,2.127461,4.137264,50.287609
2023,29,天津分公司,6,16,10,218,75,105.146457,258.340737,1234.679037,0,1,8,2.51210563,1627.056536,-,-,-,1.633361,5.184488,54.747675
2023,29,事业中心,3,6,2,108,64,175.139816,435.233974,2186.33699,0,1,5,2.45093242,1156.587144,3.204546,10.03957,164.255608,3.510281,11.076158,181.942678
2023,29,经纪人,0,3,3,92,60,18.44481,91.28997,605.11724,0,1,2,12.72784146,4111.274142,-,-,-,5.811125,20.516799,181.823961
2023,29,财富中心,0,3,6,63,45,8.6406,90.195355,857.617514,0,1,8,4.9009012,2105.818616,1.486326,7.109537,67.521244,1.844684,8.417292,76.310837
2023,29,北京方庄,5,29,4,1147,51,7.3274,30.5842,84.2657,0,0,1,1.79218549,470.017245,-,-,-,1.688384,5.825648,51.975993
2023,30,天津分公司,10,26,18,228,83,243.073051,501.413788,1419.573128,0,1,8,2.61466806,1634.632512,-,-,-,2.539157,7.723645,57.286832
2023,30,事业中心,1,7,2,109,64,351.356032,786.590006,2428.330656,0,1,5,2.55839638,1120.356249,7.059819,17.099389,171.315427,7.549151,18.625309,189.491829
2023,30,经纪人,5,8,5,97,62,20.86408,112.15405,650.064016,0,1,2,12.47666813,4064.733364,-,-,-,8.224224,28.741023,190.048185
2023,30,财富中心,5,8,8,68,47,157.263544,247.458899,951.411106,0,1,8,5.04815002,2293.416707,2.340224,9.449761,69.861468,2.611373,11.028665,78.92221
2023,30,北京方庄,8,37,7,1155,54,17.2589,47.8431,84.0878,0,0,1,1.82449679,449.617133,-,-,-,2.039365,7.865013,54.015358
2023,32,天津分公司,7,21,7,249,90,43.2206,289.870313,1270.907313,0,0,8,2.57324851,1722.815476,-,-,-,1.845979,3.718615,61.005447
2023,32,事业中心,4,10,7,110,67,603.77268,842.684104,2089.906071,0,0,6,2.63498628,1114.163013,8.189306,15.600482,189.677489,9.959669,17.583775,209.851286
2023,32,经纪人,1,5,6,114,76,81.219174,290.408034,633.563005,0,0,1,12.7031397,4115.129392,-,-,-,8.477905,15.522131,206.888255
2023,32,财富中心,4,8,3,96,57,21.06021,179.444808,1020.765324,1,1,9,4.98997512,2420.337346,2.066708,3.70902,73.757966,2.357651,4.274379,83.384067
